User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
Cele_Segenanqua,2019-11-04 20:17:00,#Education: First University of Education in South East Geo-political Zone Constructed by Gov Ifeanyi Ugwuanyi's admin ,Enugu,5,0,NaN
arslanhussain60,2019-11-04 20:16:41,10.7 billion will be directed to improve the quality of college and university education through provision of online c ,NaN,22,0,NaN
NathanWAttwood,2019-11-04 20:16:31,"I understand that having a winning football program is a nonnegotiable at FSU. At the same time, maybe they could h  ",NaN,0,0,NaN
stoneimonitie,2019-11-04 20:16:27,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Edo state,164,0,NaN
Marshal007_,2019-11-04 20:16:17,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Nigeria ,164,0,NaN
MichaelTripper,2019-11-04 20:16:15,"#insanity #postsecondary #education #cdnpoli #canada;Many Students Are Fed Up with Diversity, Inclusion, and Equity  ",NaN,0,1,NaN
SothanJohana,2019-11-04 20:15:24,"Free Education University &gt;&gt; How to get grants for trade or vocational school, community colleges, or a university  ","Secaucus, NJ",0,0,NaN
McKonGov,2019-11-04 20:15:03, Institutional procedures and red tape  ranks as one of the top five sources of stress amongst #university faculty  ,Global,0,0,NaN
48Sezza,2019-11-04 20:14:48,   And even when you do it s a negligible increase. Especially considering free univ ,NaN,3,0,NaN
HispanicOutlook,2019-11-04 20:13:08,It's University Press Week! We celebrate University Presses every month in our Higher Education School Library! Oct  ,"Fair Lawn, NJ",0,1,NaN
keeweedoc,2019-11-04 20:12:27,Haven't blogged for years but thought I would be able to add something to the discussion about Electives and the cu  ,Under a Punga log,0,0,NaN
